NM_CANDIDATO,kmeans,y,x
ROSANA DE OLIVEIRA VALLE,0,16,1
HELDER IGNACIO SALOMÃO,0,15,1
PAULO JOSÉ CARLOS GUEDES,0,14,1
NERI GELLER,0,13,1
SAMIA DE SOUZA BOMFIM,0,12,1
LÍDICE DA MATA E SOUZA,0,11,1
JOSÉ CERQUEIRA DE SANTANA NETO,0,10,1
DOMINGOS GOMES DE AGUIAR NETO,0,9,1
JOSE CARLOS SCHIAVINATO,0,8,1
ANDRE CARLOS ALVES DE PAULA FILHO,0,7,1
WAGNER BACH MARTINS,0,6,1
EDMILSON BRITO RODRIGUES,0,5,1
ROSANGELA DE SOUZA GOMES,0,4,1
MARIA DO PARTO MENDES ROSAS,0,3,1
GUTEMBERG REIS DE OLIVEIRA,0,2,1
LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA,0,1,1
FREDERICO BORGES DA COSTA,0,16,2
CÉLIO ANTÔNIO DA SILVEIRA,0,15,2
DARCI DE MATOS,0,14,2
ANDRE PEIXOTO FIGUEIREDO LIMA,0,13,2
GLAUSKSTON BATISTA RIOS,0,12,2
LUIS FELIPE BONATTO FRANCISCHINI,0,11,2
LUCIANO DUCCI,0,10,2
DANRLEI DE DEUS HINTERHOLZ,0,9,2
JOÃO INÁCIO RIBEIRO ROMA NETO,0,8,2
FABIO HENRIQUE SANTANA DE CARVALHO,0,7,2
NATALIA BASTOS BONAVIDES,0,6,2
SORAYA DE SOUZA MANNATO,0,5,2
ROGERIO CORREIA DE MOURA BAPTISTA,0,4,2
TALIRIA PETRONE SOARES,0,3,2
ALESSANDRO LUCCIOLA MOLON,0,2,2
FREDERICO DE CASTRO ESCALEIRA,0,1,2
DANIEL PIRES COELHO,0,16,3
MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR,0,15,3
JORGE JOSÉ SANTOS PEREIRA SOLLA,0,14,3
JOÃO CARLOS BACELAR BATISTA,0,13,3
UBIRATAN ANTUNES SANDERSON,0,12,3
ALCIDES RIBEIRO FILHO,0,11,3
HEITOR JOSÉ SCHUCH,0,10,3
JOSÉ MARCELO DO NASCIMENTO NILO,0,9,3
JOSÉ CARLOS VERAS DOS SANTOS,0,8,3
ROSA NEIDE SANDES DE ALMEIDA,0,7,3
VITOR LIPPI,0,6,3
JOSE NOBRE GUIMARAES,0,5,3
MARIA MARGARIDA MARTINS SALOMÃO,0,4,3
VINICIUS MEDEIROS FARAH,0,3,3
CHRISTIANE DE SOUZA YARED,0,2,3
PABLO OLIVA SOUZA,0,1,3
IGOR TARCIANO TIMO,0,16,4
BEATRIZ KICIS TORRENTS DE SORDI,0,15,4
REJANE RIBEIRO SOUSA DIAS,0,14,4
ROBERTO ALVES DE LUCENA,0,13,4
ARLINDO CHIGNALIA JUNIOR,0,12,4
HUGO LEAL MELO DA SILVA,0,11,4
RENATA HELLMEISTER DE ABREU,0,10,4
JOSE ANTONIO DOS SANTOS MEDEIROS,0,9,4
DANIELA MOTE DE SOUZA CARNEIRO,0,8,4
ELIESER GIRAO MONTEIRO FILHO,0,7,4
SILVIA CRISTINA AMANCIO CHAGAS,0,6,4
PATRUS ANANIAS DE SOUZA,0,5,4
PEDRO BANDARRA WESTPHALEN,0,4,4
OTONI MOURA DE PAULO JUNIOR,0,3,4
ROGERIO TEIXEIRA JUNIOR,0,2,4
LUCIO ANTONIO MOSQUINI,0,1,4
RUBENS OTONI GOMIDE,0,16,5
MARCELO RIBEIRO FREIXO,0,15,5
NICOLINO BOZZELLA JUNIOR,0,14,5
ERIKA JUCA KOKAY,0,13,5
CELIO ALVES DE MOURA,0,12,5
EDNACE ALVES SILVESTRE HENRIQUE,0,11,5
FELIPE RIGONI LOPES,0,10,5
JOSE EDUARDO PEREIRA DA COSTA,0,9,5
LUIZA ERUNDINA DE SOUSA,0,8,5
JANDIRA FEGHALI,0,7,5
JOÃO CARLOS SOARES GURGEL,0,6,5
AUGUSTO RODRIGUES COUTINHO DE MELO,0,5,5
BENEDITA SOUZA DA SILVA SAMPAIO,0,4,5
PEDRO LUCAS ANDRADE FERNANDES RIBEIRO,0,3,5
JOENIA BATISTA DE CARVALHO,0,2,5
WAGNER SOUSA GOMES,0,1,5
ÁTILA FREITAS LIRA,0,16,6
UBIRAJARA DO PINDARÉ ALMEIDA SOUSA,0,15,6
ALESSANDRA DA SILVA,0,14,6
ALINE SLEUTJES,0,13,6
DENIS ANDERSON DA ROCHA BEZERRA,0,12,6
LUIZ GONZAGA RIBEIRO,0,11,6
LUCAS DE CASTRO SANTOS,0,10,6
JERÔNIMO PIZZOLOTTO GOERGEN,0,9,6
MARCIO CARLOS MARINHO,0,8,6
DARCI POMPEO DE MATTOS,0,7,6
JOSÉ NELTO LAGARES DAS MERCEZ,0,6,6
JOSÉ LEÔNIDAS DE MENEZES CRISTINO,0,5,6
JOSE VITOR DE RESENDE AGUIAR,0,4,6
AUREO LIDIO MOREIRA RIBEIRO,0,3,6
RAFAEL HUETE DA MOTTA,0,2,6
JOÃO BOSCO DA COSTA,0,1,6
GILLIANO FRED NASCIMENTO CUTRIM,0,16,7
FILIPE BARROS BAPTISTA DE TOLEDO RIBEIRO,0,15,7
ÁUREA CAROLINA DE FREITAS E SILVA,0,14,7
REGINALDO LAZARO DE OLIVEIRA LOPES,0,13,7
IVAN VALENTE,0,12,7
JOSE ALVES ROCHA,0,11,7
LEANDRE DAL PONTE,0,10,7
CYLMARA FERNANDES DA ROCHA GRIPP,0,9,7
FERNANDA MELCHIONNA E SILVA,0,8,7
MARCELO CALERO FARIA GARCIA,0,7,7
FRANCISCO EURICO DA SILVA,0,6,7
HILDO AUGUSTO DA ROCHA NETO,0,5,7
MARIA AUXILIADORA SEABRA REZENDE,0,4,7
ELVINO JOSÉ BOHN GASS,0,3,7
PEDRO OLIVEIRA CUNHA LIMA,0,2,7
KATIA DA SILVA SASTRE,0,1,7
JULIO CESAR RIBEIRO,0,16,8
ALEXANDRE ROCHA SANTOS PADILHA,0,15,8
PAULO SERGIO RAMOS BARBOZA,0,14,8
JOÃO CAMPOS DE ARAÚJO,0,13,8
ANTONIO CEZAR CORREIA FREIRE,0,12,8
MARIA DO ROSÁRIO NUNES,0,11,8
EVAIR VIEIRA DE MELO,0,10,8
JOAO CHRISÓSTOMO DE MOURA,0,9,8
CHRISTINO ÁUREO DA SILVA,0,8,8
JOAO SOMARIVA DANIEL,0,7,8
ALBERTO BARROS CAVALCANTE NETO,0,6,8
MARIA PERPETUA DE ALMEIDA,0,5,8
JOSE CARLOS BECKER DE OLIVEIRA E SILVA,0,4,8
JOZIEL FERREIRA CARLOS,1,3,8
OLIVAL HENRIQUE MARQUES DE SOUZA,1,2,8
AFONSO ANTUNES DA MOTTA,1,1,8
DOMINGOS SÁVIO CAMPOS RESENDE,1,16,9
LIZIANE BAYER DA COSTA,1,15,9
JOAO CARLOS PAOLILO BACELAR FILHO,1,14,9
SERGIO DE SOUZA,1,13,9
HERMES PARCIANELLO,1,12,9
FERNANDO RODOLFO TENORIO DE VASCONCELOS,1,11,9
LUIZ AUGUSTO CARVALHO RIBEIRO FILHO,1,10,9
JOSE CARLOS NUNES JUNIOR,1,9,9
FRANCISCO DE ASSIS CARVALHO GONÇALVES,1,8,9
DIEGO LEONARDO DE ANDRADE CARVALHO,1,7,9
EMIDIO ALVES MADEIRA JUNIOR,1,6,9
JOSE AROLDO SOUZA MARTINS,1,5,9
GLEISI HELENA HOFFMANN,1,4,9
ANDERSON MACHADO DE JESUS,1,3,9
ADOLFO VIANA DE CASTRO NETO,1,2,9
LEONARDO RIBEIRO ALBUQUERQUE,1,1,9
RONALDO CARLETTO,1,16,10
ALUISIO GUIMARÃES MENDES FILHO,1,15,10
CRISTIANO DUTRA VALE,1,14,10
CELSO MALDANER,1,13,10
LUIZ HILOSHI NISHIMORI,1,12,10
MILTON VIEIRA PINTO,1,11,10
JOSE LOURENÇO BONFIM JUNIOR,1,10,10
FLAVIANO FLAVIO BAPTISTA DE MELO,1,9,10
LOURIVAL GOMES DE ALMEIDA,1,8,10
VICENTE PAULO DA SILVA,1,7,10
RICARDO JOSE MAGALHÃES BARROS,1,6,10
JOSE ROBERTO OLIVEIRA FARO,1,5,10
ALENCAR SANTANA BRAGA,1,4,10
DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,1,3,10
SAMUEL MOREIRA DA SILVA JÚNIOR,1,2,10
DAMIÃO FELICIANO DA SILVA,1,1,10
STEFANO AGUIAR DOS SANTOS,1,16,11
HUMBERTO REZENDE PEREIRA,1,15,11
ANDRE DOS SANTOS ABDON,1,14,11
FLORDELIS DOS SANTOS DE SOUZA,1,13,11
GELSON DE AZEVEDO ALMEIDA,1,12,11
FÁBIO CRUZ MITIDIERI,1,11,11
JOSÉ LEONARDO COSTA MONTEIRO,1,10,11
ALCEU MOREIRA DA SILVA,1,9,11
JESUS SERGIO DE MENEZES,1,8,11
ULDURICO ALENCAR PINTO,1,7,11
MOSES HAENDEL MELO RODRIGUES,1,6,11
ENRICO VAN BLARCUM DE GRAAFF MISASI,1,5,11
NELSI COGUETTO MARIA,1,4,11
ANDRE FERREIRA RODRIGUES,1,3,11
FELIX DE ALMEIDA MENDONÇA JUNIOR,1,2,11
JESSICA ROJAS SALES,1,1,11
ROGERIO MENDONÇA,1,16,12
VALMIR CARLOS DA ASSUNÇÃO,1,15,12
JOSE NUNES SOARES,1,14,12
HÉLIO LEITE DA SILVA,1,13,12
EMERSON MIGUEL PETRIV,1,12,12
EFRAIM DE ARAUJO MORAIS FILHO,1,11,12
CARLOS GOMES BEZERRA,1,10,12
EDUARDO PEDROSA CURY,1,9,12
ATILA SIDNEY LINS DE ALBUQUERQUE,1,8,12
LEDA MARIA SADALA BRITO,1,7,12
FERNANDO MONTEIRO DE ALBUQUERQUE,1,6,12
LUIZ GONZAGA PATRIOTA,1,5,12
RODRIGO BATISTA DE CASTRO,1,4,12
ELIEL MÁRCIO DO CARMO,1,3,12
PEDRO DEBONI LUPION MELLO,1,2,12
ODAIR JOSÉ DA CUNHA,1,1,12
DAGOBERTO NOGUEIRA FILHO,1,16,13
ALEXANDRE FROTA DE ANDRADE,1,15,13
LUIZ FELIPE BALEIA TENUTO ROSSI,1,14,13
JOÃO MARCELO SANTOS SOUZA,1,13,13
JOSE OTACI BARROSO DO NASCIMENTO,1,12,13
ANTONIO RIBEIRO,1,11,13
DULCE FERREIRA PAGANI MIRANDA,1,10,13
VANDERLEI MACRIS,1,9,13
EDUARDO HENRIQUE DA FONTE DE ALBUQUERQUE SILVA,1,8,13
JOÃO BOSCO GOMES SARAIVA,1,7,13
SILVIO SERAFIM COSTA FILHO,1,6,13
LUIZIANNE DE OLIVEIRA LINS,1,5,13
PAULO ROBERTO SEVERO PIMENTA,1,4,13
JOSÉ WELLINGTON ROBERTO,1,3,13
GILBERTO NASCIMENTO SILVA,1,2,13
CARLOS HENRIQUE FOCESI SAMPAIO,1,1,13
WOLNEY QUEIROZ MACIEL,1,16,14
ALEXANDRE LEITE DA SILVA,1,15,14
JOÃO CARLOS SIQUEIRA,1,14,14
ACÁCIO DA SILVA FAVACHO NETO,1,13,14
PAULO VELLOSO DANTAS AZI,1,12,14
MARCOS ANTONIO PEREIRA,1,11,14
JOSÉ VALDEVAN DE JESUS SANTOS,1,10,14
MANUEL MARCOS CARVALHO DE MESQUITA,1,9,14
AFONSO BANDEIRA FLORENCE,1,8,14
MISAEL ARTUR FERREIRA VARELLA,1,7,14
MAURÍCIO ALEXANDRE DZIEDRICKI,1,6,14
ELMAR JOSÉ VIEIRA NASCIMENTO,1,5,14
MÁRCIO DA SILVEIRA LABRE,1,4,14
CLAUDIO CAJADO SAMPAIO,1,3,14
ARTHUR DE OLIVEIRA MAIA DA SILVA,1,2,14
ALAN RICK MIRANDA,1,1,14
AGUINALDO VELLOSO BORGES RIBEIRO,1,16,15
WALDENOR ALVES PEREIRA FILHO,1,15,15
CHARLES FERNANDES SILVEIRA SANTANA,1,14,15
FERNANDO BEZERRA DE SOUZA COELHO FILHO,1,13,15
DIMAS FABIANO TOLEDO JUNIOR,1,12,15
JOSÉ WILSON SANTIAGO,1,11,15
ANTONIO WANDSCHEER,1,10,15
CHARLLES THOMACELLI EVANGELISTA,1,9,15
SEVERINO DE LIRA PESSÔA,1,8,15
EROS FERREIRA BIONDINI,1,7,15
HEITOR RODRIGO PEREIRA FREIRE,1,6,15
OTTO ROBERTO MENDONÇA DE ALENCAR FILHO,1,5,15
MARINA SANTOS BATISTA DIAS,1,4,15
HIRAN MANUEL GONÇALVES DA SILVA,1,3,15
RICARDO IZAR JUNIOR,1,2,15
ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,1,1,15
RICARDO TEOBALDO CAVALCANTI,1,16,16
ISNALDO BULHÕES BARROS JUNIOR,1,15,16
FLAVIO RODRIGUES NOGUEIRA,1,14,16
ÉDER MAURO CARDOSO BARRA,1,13,16
DANIEL GOMES DE ALMEIDA,1,12,16
PAULO ROBERTO FREIRE DA COSTA,1,11,16
NILTO IGNACIO TATTO,1,10,16
DANIEL COSTA DE FREITAS,1,9,16
ELCIONE THEREZINHA ZAHLUTH BARBALHO,1,8,16
ALCIDES RODRIGUES FILHO,1,7,16
LOESTER CARLOS GOMES DE SOUZA,1,6,16
RAUL JEAN LOUIS HENRY JUNIOR,1,5,16
ANDRE LUIS GASPAR JANONES,1,4,16
HENRIQUE FONTANA JÚNIOR,1,3,16
FERNANDO LUCIO GIACOBO,1,2,16
VANDER LUIZ DOS SANTOS LOUBET,1,1,16
WELITON FERNANDES PRADO,1,16,17
JOSÉ ALFONSO EBERT HAMM,1,15,17
ANTONIO CARLOS NICOLETTI,1,14,17
GIOVANI CHERINI,1,13,17
MÁRIO SILVIO MENDES NEGROMONTE JÚNIOR,1,12,17
JOÃO FRANCISCO INÁCIO BRAZÃO,1,11,17
JOSIAS MARIO DA VITORIA,1,10,17
ALEX MARCO SANTANA SOUSA,1,9,17
GLAUBER DE MEDEIROS BRAGA,1,8,17
VINICIUS RAPOZO DE CARVALHO,1,7,17
FÁBIO AUGUSTO RAMALHO DOS SANTOS,1,6,17
LAURIETE RODRIGUES DE JESUS MALTA,1,5,17
SÉRGIO TOLEDO DE ALBUQUERQUE,1,4,17
HUGO MOTTA WANDERLEY DA NÓBREGA,1,3,17
JOSE RICARDO WENDLING,1,2,17
JOHNATHAN PEREIRA DE JESUS,1,1,17
MARCOS AURELIO PADUA RIBEIRO GONÇALVES DE SAMPAIO,1,16,18
IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,1,15,18
NILSON PINTO DE OLIVEIRA,1,14,18
MARCIO DELLA VALLE BIOLCHI,1,13,18
LUIZ ANTONIO DA COSTA CARVALHO CORREA DA SILVA,1,12,18
FABIO DE ALMEIDA REIS,1,11,18
SEBASTIÃO IGNACIO DE OLIVEIRA JUNIOR,1,10,18
JULIO CESAR DELGADO,1,9,18
CLEBER VERDE CORDEIRO MENDES,1,8,18
EDILAZIO GOMES DA SILVA JUNIOR,1,7,18
JOSIMAR CUNHA RODRIGUES,1,6,18
MÁRIO LÚCIO HERINGER,1,5,18
MARCELO EDUARDO FREITAS,1,4,18
ANTONIO DA CRUZ FILGUEIRA NETO,1,3,18
PAULO ABI-ACKEL,1,2,18
PAULO FERNANDO DOS SANTOS,1,1,18
MARCOS ROBERIO RIBEIRO MONTEIRO,1,16,19
RUI GOETHE DA COSTA FALCÃO,1,15,19
GEOVANIA DE SA RODRIGUES,1,14,19
LINCOLN DINIZ PORTELA,1,13,19
MARLON ARATOR SANTOS DA ROSA,1,12,19
JAZIEL PEREIRA DE SOUSA,1,11,19
MAGDA MOFATTO HON,1,10,19
PEDRO AUGUSTO GEROMEL BEZERRA DE MENEZES,1,9,19
WALTER PEREIRA ALVES,1,8,19
CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,1,7,19
PEDRO PAULO CARVALHO TEIXEIRA,1,6,19
GULLIEM CHARLES BEZERRA LEMOS,1,5,19
SÓSTENES SILVA CAVALCANTE,1,4,19
HAROLDO ALVES CAMPOS,1,3,19
CARLOS FELIPE VAZQUEZ DE SOUZA LEÃO,1,2,19
ALINE PARANHOS VARONIL GURGEL,1,1,19
